,k,alfa,acc,fscore
6,10.0,25.0,0.8540857246600281,0.85269801923758
7,10.0,30.0,0.8562714181323897,0.8548387426183889
8,10.0,35.0,0.8581571618097777,0.8569087121624327
9,11.0,25.0,0.8533571642509904,0.8522777850062595
10,11.0,30.0,0.8553142720082847,0.8542630736297303
11,11.0,35.0,0.8567999940517484,0.8558246332692456
0,8.0,40.0,0.8596999858929847,0.8584447202543545
1,8.0,50.0,0.8624571332445533,0.8611668435704276
2,8.0,60.0,0.8635000389619297,0.8622074349070905
3,8.0,70.0,0.8640000442690199,0.8626649077261354
0,8.0,80.0,0.8644143120242852,0.8632417387703533
1,8.0,100.0,0.865657143454151,0.8644562007264293
2,8.0,120.0,0.865728590801743,0.8645547383803427
3,8.0,140.0,0.865557165903609,0.8644253992699493
0,8.0,90.0,0.8656428801894632,0.864402061470752
1,8.0,110.0,0.8657428503928566,0.8645619927378045
2,8.0,130.0,0.8657428454947574,0.864625907137492
3,8.0,150.0,0.8657000299856731,0.8645902958317685
4,9.0,90.0,0.8637143295746643,0.862918879382551
5,9.0,110.0,0.8644428899837022,0.8636809526125243
6,9.0,130.0,0.8645285822281102,0.8638339350223587
7,9.0,150.0,0.8645857075338245,0.8638947620212766
8,10.0,90.0,0.8640428597781046,0.8630162007686256
9,10.0,110.0,0.8647428691672706,0.8637281406975216
10,10.0,130.0,0.8648285626362036,0.8638530855853167
11,10.0,150.0,0.8645571601875273,0.863576396950561
12,11.0,90.0,0.8633428589606117,0.8625598442040131
13,11.0,110.0,0.8629142863068159,0.8622323199281574
14,11.0,130.0,0.8633285907978245,0.8626524323421724
15,11.0,150.0,0.8637000063082617,0.8630062507087192
0,5.0,20.0,0.8470714030148966,0.8460056382900069
1,5.0,30.0,0.855314287927107,0.8542833579315582
2,5.0,40.0,0.8576571503800633,0.8567713101024279
3,5.0,50.0,0.860785720589218,0.8598603783068312
4,5.0,60.0,0.8619571450808099,0.8611540795137551
5,5.0,70.0,0.8626285789596088,0.861820848276816
6,5.0,80.0,0.8638999858998421,0.8630951902969212
7,5.0,90.0,0.8642286067181163,0.8634881557843624
8,5.0,100.0,0.864885733249335,0.8641571245007434
9,5.0,110.0,0.8649142769220579,0.8641957035238899
10,5.0,120.0,0.8656571508012999,0.8649505998442025
11,5.0,130.0,0.8653571728422561,0.8646266808673081
12,5.0,140.0,0.8657000005970783,0.8650002432675782
13,6.0,20.0,0.848314271180506,0.8466071051997538
14,6.0,30.0,0.8562142695607048,0.8546029284403827
15,6.0,40.0,0.8593714140557019,0.8578936948056143
16,6.0,50.0,0.8619999936520634,0.8605666846669121
17,6.0,60.0,0.8634571316134863,0.8620378311098554
18,6.0,70.0,0.8640571450842386,0.8626057466507336
19,6.0,80.0,0.8649000210045186,0.8634795876075388
20,6.0,90.0,0.865614286311224,0.8641942285953182
21,6.0,100.0,0.8659000254960755,0.8645181210611673
22,6.0,110.0,0.8666285895786877,0.8652579863231131
23,6.0,120.0,0.8669714332523321,0.8655804802233343
24,6.0,130.0,0.8669142993749442,0.8656293076774232
25,6.0,140.0,0.866600010394746,0.8652949516736791
